"RK",TIERS,"PLAYER NAME",TEAM,"POS","BYE WEEK","UPSIDE ","BUST ","SOS SEASON","ECR VS. ADP"
"276",12,"Darius Slayton",NYG,"WR98","8","","","4 out of 5 stars","+65"
"277",12,"Devaughn Vele",NO,"WR99","8","","","3 out of 5 stars","+17"
"278",12,"Marvin Mims Jr.",DEN,"WR100","10","","","2 out of 5 stars","+5"
"279",12,"LeQuint Allen Jr.",JAC,"RB81","7","","","4 out of 5 stars","+45"
"280",12,"Mason Taylor",NYJ,"TE35","13","","","4 out of 5 stars","-61"
"281",12,"Trey Benson",ARI,"RB82","14","","","2 out of 5 stars","-72"
"282",12,"Xavier Legette",CAR,"WR101","5","","","2 out of 5 stars","+54"
"283",12,"Atlanta Falcons",ATL,"DST17","11","","","4 out of 5 stars","+25"
"284",12,"San Francisco 49ers",SF,"DST18","8","","","3 out of 5 stars","+9"
"285",12,"Kaleb Johnson",PIT,"RB83","9","","","2 out of 5 stars","-37"
"286",12,"Seth McGowan",IND,"RB84","13","","","4 out of 5 stars","+56"
"287",12,"Cyrus Allen",KC,"WR102","5","","","2 out of 5 stars","-19"
"288",12,"Oscar Delp",NO,"TE36","8","","","2 out of 5 stars","-"
"289",12,"Najee Harris",NYG,"RB85","8","","","4 out of 5 stars","-35"
"290",12,"Devin Singletary",NYG,"RB86","8","","","4 out of 5 stars","-10"
"291",12,"New Orleans Saints",NO,"DST19","8","","","5 out of 5 stars","+11"
"292",12,"Adam Randall",BAL,"RB87","13","","","3 out of 5 stars","+43"
"293",12,"Kyle Williams",NE,"WR103","11","","","2 out of 5 stars","-5"
"294",12,"Kendre Miller",NO,"RB88","8","","","3 out of 5 stars","-30"
"295",12,"Emari Demercado",KC,"RB89","5","","","3 out of 5 stars","+45"
"296",12,"Michael Penix Jr.",ATL,"QB32","11","","","4 out of 5 stars","-52"
"297",12,"Shedeur Sanders",CLE,"QB33","11","","","4 out of 5 stars","-50"
"298",12,"Kirk Cousins",LV,"QB34","13","","","1 out of 5 stars","-41"
"299",12,"Brandon Aiyuk",SF,"WR104","8","","","2 out of 5 stars","-61"
"300",12,"Mike Gesicki",CIN,"TE37","6","","","3 out of 5 stars","+9"
"301",12,"Brashard Smith",KC,"RB90","5","","","3 out of 5 stars","-34"
"302",12,"Deshaun Watson",CLE,"QB35","11","","","4 out of 5 stars","-31"
"303",13,"Hollywood Brown",PHI,"WR105","10","","","4 out of 5 stars","+28"
"304",13,"Skyler Bell",BUF,"WR106","7","","","4 out of 5 stars","+39"
"305",13,"Mack Hollins",NE,"WR107","11","","","2 out of 5 stars","-"
"306",13,"Jerome Ford",WAS,"RB91","7","","","4 out of 5 stars","+24"
"307",13,"Trevor Etienne",CAR,"RB92","5","","","1 out of 5 stars","-"
"308",13,"Isaiah Bond",CLE,"WR108","11","","","3 out of 5 stars","-"
"309",13,"Jake Tonges",SF,"TE38","8","","","3 out of 5 stars","-80"
"310",13,"Indianapolis Colts",IND,"DST20","13","","","5 out of 5 stars","-4"
"311",13,"Charlie Smyth",NO,"K18","8","","","5 out of 5 stars","+9"
"312",13,"Andrei Iosivas",CIN,"WR109","6","","","4 out of 5 stars","+22"
"313",13,"Tyreek Hill",FA,"WR110","-","","","-","-117"
"314",13,"Isaac Guerendo",SF,"RB93","8","","","2 out of 5 stars","-"
"315",13,"Jarquez Hunter",LAR,"RB94","11","","","5 out of 5 stars","-34"
"316",13,"Chicago Bears",CHI,"DST21","10","","","2 out of 5 stars","-31"
"317",13,"Tahj Brooks",CIN,"RB95","6","","","2 out of 5 stars","-"
"318",13,"Darnell Washington",PIT,"TE39","9","","","2 out of 5 stars","-"
"319",13,"Jaleel McLaughlin",DEN,"RB96","10","","","2 out of 5 stars","-"
"320",13,"Audric Estime",NO,"RB97","8","","","3 out of 5 stars","-43"
"321",13,"Will Shipley",PHI,"RB98","10","","","4 out of 5 stars","-"
"322",13,"Darren Waller",CAR,"TE40","5","","","2 out of 5 stars","+11"
"323",13,"Michael Mayer",LV,"TE41","13","","","3 out of 5 stars","+5"
"324",13,"Jahan Dotson",ATL,"WR111","11","","","3 out of 5 stars","+8"
