Player Name,Rank,Position,Rookie,Status,Price,Owner
Cooper Kupp,235,WR,No,Free Agent,,
Demond Claiborne,237,RB,Yes,Free Agent,,
Greg Dulcich,239,TE,No,Free Agent,,
Germie Bernard,240,WR,Yes,Free Agent,,
David Njoku,241,TE,No,Free Agent,,
Keenan Allen,242,WR,No,Free Agent,,
Chimere Dike,243,WR,No,Free Agent,,
Elic Ayomanor,244,WR,No,Owned,$3,Ryan Hossick
Keon Coleman,246,WR,No,Owned,$15,Nick Meyer
Kaelon Black,247,RB,Yes,Free Agent,,
Ted Hurst III,248,WR,Yes,Free Agent,,
Colby Parkinson,249,TE,No,Free Agent,,
Isaiah Davis,251,RB,No,Free Agent,,
Jordan James,252,RB,No,Owned,$1,Nick Scott
Justice Hill,253,RB,No,Owned,$1,Johnny Goodwin
Evan Engram,254,TE,No,Free Agent,,
Tory Horton,255,WR,No,Owned,$4,Scott Moran
Ja'Kobi Lane,256,WR,Yes,Free Agent,,
Chris Brooks,257,RB,No,Free Agent,,
Fernando Mendoza,258,QB,Yes,Free Agent,,
Malachi Fields,259,WR,Yes,Free Agent,,
Jack Bech,260,WR,No,Owned,$2,Tyler Bulger
Elijah Sarratt,261,WR,Yes,Free Agent,,
Chris Bell,262,WR,Yes,Free Agent,,
Tyquan Thornton,263,WR,No,Free Agent,,
Ty Johnson,264,RB,No,Free Agent,,
Malik Davis,265,RB,No,Free Agent,,
Samaje Perine,266,RB,No,Free Agent,,
Eli Stowers,267,TE,Yes,Free Agent,,
Christian Kirk,268,WR,No,Free Agent,,
Theo Johnson,269,TE,No,Owned,$3,Corey Whitehead & Rob Green
Caleb Douglas,270,WR,Yes,Free Agent,,
Tua Tagovailoa,271,QB,No,Free Agent,,
DJ Giddens,272,RB,No,Free Agent,,
Devin Neal,273,RB,No,Owned,$3,Brad Wandell
Darius Slayton,276,WR,No,Free Agent,,
Devaughn Vele,277,WR,No,Free Agent,,
Marvin Mims,278,WR,No,Owned,$7,Brad Wandell
LeQuint Allen,279,RB,No,Owned,$1,Josh Sacks
Mason Taylor,280,TE,No,Free Agent,,
Trey Benson,281,RB,No,Free Agent,,
Xavier Legette,282,WR,No,Free Agent,,
Kaleb Johnson,285,RB,No,Free Agent,,
Seth McGowan,286,RB,Yes,Free Agent,,
Cyrus Allen,287,WR,Yes,Free Agent,,
Oscar Delp,288,TE,Yes,Free Agent,,
Najee Harris,289,RB,No,Free Agent,,
Devin Singletary,290,RB,No,Free Agent,,
Adam Randall,292,RB,Yes,Free Agent,,
Kyle Williams,293,WR,No,Owned,$5,Brad Wandell
Kendre Miller,294,RB,No,Free Agent,,
Emari Demercado,295,RB,No,Free Agent,,
Michael Penix,296,QB,No,Free Agent,,
Shedeur Sanders,297,QB,No,Owned,$1,Brad Wandell
Kirk Cousins,298,QB,No,Free Agent,,
Brandon Aiyuk,299,WR,No,Free Agent,,
Mike Gesicki,300,TE,No,Free Agent,,
Brashard Smith,301,RB,No,Owned,$2,Nick Scott
Deshaun Watson,302,QB,No,Free Agent,,
Hollywood Brown,303,WR,No,Free Agent,,
Skyler Bell,304,WR,Yes,Free Agent,,
Mack Hollins,305,WR,No,Free Agent,,
Jerome Ford,306,RB,No,Free Agent,,
Trevor Etienne,307,RB,No,Free Agent,,
Isaiah Bond,308,WR,No,Free Agent,,
Jake Tonges,309,TE,No,Free Agent,,
Andrei Iosivas,312,WR,No,Free Agent,,
Tyreek Hill,313,WR,No,Free Agent,,
Isaac Guerendo,314,RB,No,Owned,$1,Zach Moore
Jarquez Hunter,315,RB,No,Owned,$3,Nick Scott
Tahj Brooks,317,RB,No,Owned,$3,Nick Meyer
Darnell Washington,318,TE,No,Free Agent,,
Jaleel McLaughlin,319,RB,No,Free Agent,,
Audric Estime,320,RB,No,Free Agent,,
Will Shipley,321,RB,No,Free Agent,,
Darren Waller,322,TE,No,Free Agent,,
Michael Mayer,323,TE,No,Free Agent,,
Jahan Dotson,324,WR,No,Free Agent,,
Elijah Arroyo,325,TE,No,Owned,$1,Nick Meyer
Jalen Tolbert,326,WR,No,Free Agent,,
Tez Johnson,328,WR,No,Free Agent,,
Konata Mumpfield,329,WR,No,Free Agent,,
J.J. McCarthy,330,QB,No,Owned,$3,Nick Scott
DeMario Douglas,331,WR,No,Free Agent,,
Kareem Hunt,332,RB,No,Free Agent,,
Tyler Higbee,333,TE,No,Free Agent,,
Cedric Tillman,334,WR,No,Free Agent,,
Carson Beck,335,QB,Yes,Free Agent,,
Max Klare,336,TE,Yes,Free Agent,,
Joe Mixon,337,RB,No,Free Agent,,
Calvin Austin,338,WR,No,Free Agent,,
Luke McCaffrey,339,WR,No,Free Agent,,
Chris Brazzell II,340,WR,Yes,Free Agent,,
Cole Kmet,341,TE,No,Free Agent,,
Jalen Royals,342,WR,No,Free Agent,,
Brenen Thompson,343,WR,Yes,Free Agent,,
Bryce Lance,344,WR,Yes,Free Agent,,
Dawson Knox,345,TE,No,Free Agent,,
Eli Raridon,346,TE,Yes,Free Agent,,
Noah Gray,347,TE,No,Free Agent,,
Mac Jones,349,QB,No,Free Agent,,
Eli Heidenreich,350,RB,Yes,Free Agent,,
Olamide Zaccheaus,351,WR,No,Free Agent,,
Justin Joly,352,TE,Yes,Free Agent,,
Erick All,353,TE,No,Owned,$1,Nick Scott
Charlie Kolar,355,TE,No,Free Agent,,
Bam Knight,356,RB,No,Free Agent,,
Ja'Tavion Sanders,357,TE,No,Free Agent,,
Justin Fields,359,QB,No,Owned,$2,Josh Sacks
Michael Carter,361,RB,No,Free Agent,,
Kendrick Bourne,362,WR,No,Free Agent,,
Joshua Palmer,363,WR,No,Free Agent,,
Treylon Burks,364,WR,No,Free Agent,,
Ty Simpson,365,QB,Yes,Free Agent,,
Kevin Coleman Jr.,367,WR,Yes,Free Agent,,
Jawhar Jordan,369,RB,No,Free Agent,,
Tutu Atwell,370,WR,No,Free Agent,,
J'Mari Taylor,371,RB,Yes,Free Agent,,
KaVontae Turpin,372,WR,No,Free Agent,,
Dont'e Thornton,373,WR,No,Free Agent,,
Xavier Hutchinson,374,WR,No,Free Agent,,
Nick Chubb,376,RB,No,Free Agent,,
Raheim Sanders,377,RB,No,Free Agent,,
Savion Williams,379,WR,No,Owned,$1,Nick Scott
Phil Mafah,380,RB,No,Owned,$1,Josh Sacks
Noah Fant,381,TE,No,Free Agent,,
Malik Benson,383,WR,Yes,Free Agent,,
Zavion Thomas,384,WR,Yes,Free Agent,,
Jaylin Lane,386,WR,No,Owned,$2,Josh Sacks
Nick Westbrook-Ikhine,387,WR,No,Free Agent,,
John Metchie III,388,WR,No,Free Agent,,
Kalif Raymond,389,WR,No,Free Agent,,
Roman Wilson,390,WR,No,Free Agent,,
Anthony Richardson,391,QB,No,Free Agent,,
Joe Flacco,395,QB,No,Free Agent,,
CJ Daniels,396,WR,Yes,Free Agent,,
Jam Miller,397,RB,Yes,Free Agent,,
Mitchell Evans,398,TE,No,Free Agent,,
Austin Ekeler,400,RB,No,Free Agent,,
Luke Musgrave,402,TE,No,Free Agent,,
Jameis Winston,403,QB,No,Free Agent,,
Tommy Tremble,404,TE,No,Free Agent,,
Sione Vaki,406,RB,No,Free Agent,,
Ben Sinnott,407,TE,No,Free Agent,,
Daniel Bellinger,408,TE,No,Free Agent,,
Rasheen Ali,410,RB,No,Free Agent,,
Devontez Walker,411,WR,No,Owned,$1,Brad Wandell
John Bates,413,TE,No,Free Agent,,
Roschon Johnson,415,RB,No,Free Agent,,
Dameon Pierce,416,RB,No,Free Agent,,
Demarcus Robinson,419,WR,No,Free Agent,,
Jeremy McNichols,420,RB,No,Free Agent,,
Kyle Juszczyk,421,RB,No,Free Agent,,
Cade Klubnik,422,QB,Yes,Free Agent,,
Damien Martinez,423,RB,No,Free Agent,,
Jordan Whittington,424,WR,No,Free Agent,,
Zavier Scott,425,RB,No,Free Agent,,
Terrell Jennings,426,RB,No,Free Agent,,
Jaret Patterson,427,RB,No,Free Agent,,
Khalil Herbert,429,RB,No,Free Agent,,
Tommy Myers,430,TE,No,Free Agent,,
Tyler Goodson,431,RB,No,Free Agent,,
Ashton Dulin,432,WR,No,Free Agent,,
Colbie Young,433,WR,Yes,Free Agent,,
Marcus Mariota,434,QB,No,Free Agent,,
Odell Beckham Jr.,435,WR,No,Free Agent,,
Tai Felton,436,WR,No,Owned,$1,Nick Scott
Jonnu Smith,437,TE,No,Free Agent,,
Marlin Klein,438,TE,Yes,Free Agent,,
Ty Chandler,439,RB,No,Free Agent,,
Joe Milton III,440,QB,No,Free Agent,,
Robert Henry Jr.,441,RB,Yes,Free Agent,,
Dyami Brown,442,WR,No,Free Agent,,
Dylan Laube,443,RB,No,Free Agent,,
Riley Leonard,444,QB,No,Free Agent,,
Deion Burks,445,WR,Yes,Free Agent,,
Frank Gore Jr.,446,RB,No,Free Agent,,
Taysom Hill,447,TE,No,Free Agent,,
Zach Ertz,448,TE,No,Free Agent,,
Xavier Smith,449,WR,No,Free Agent,,
Miles Sanders,450,RB,No,Free Agent,,
Donovan Edwards,451,RB,No,Free Agent,,
Jalen Reagor,452,WR,No,Free Agent,,
Will Kacmarek,453,TE,Yes,Free Agent,,
Elijah Tau-Tolliver,453,RB,Yes,Free Agent,,
Cash Jones,454,RB,Yes,Free Agent,,
Jahdae Walker,454,WR,No,Free Agent,,
Roman Hemby,455,RB,Yes,Free Agent,,
Jakobie Keeney-James,456,WR,No,Free Agent,,
Antwane Wells,456,WR,No,Free Agent,,
Scotty Miller,457,WR,No,Free Agent,,
Isaiah Williams,457,WR,No,Free Agent,,
Xavier Restrepo,458,WR,No,Free Agent,,
Theo Wease Jr.,459,WR,No,Free Agent,,
Kendric Pryor,460,WR,No,Free Agent,,
Austin Hooper,460,TE,No,Free Agent,,
Greg Dortch,461,WR,No,Free Agent,,
Barion Brown,462,WR,No,Free Agent,,
Hunter Luepke,463,RB,No,Free Agent,,
Jacob Saylors,463,RB,No,Free Agent,,
Jaydn Ott,464,RB,Yes,Free Agent,,
Kevin Austin Jr.,464,WR,No,Free Agent,,
Kalel Mullings,465,RB,No,Owned,$1,Josh Sacks
DeAndre Hopkins,466,WR,No,Free Agent,,
AJ Dillon,466,RB,No,Free Agent,,
Mo Alie-Cox,467,TE,No,Free Agent,,
Myles Montgomery,467,RB,Yes,Free Agent,,
Adam Trautman,468,TE,No,Free Agent,,
Jackson Hawes,469,TE,No,Free Agent,,
Brandin Cooks,470,WR,No,Free Agent,,
Jake Bobo,470,WR,No,Free Agent,,
Nate Boerkircher,471,TE,Yes,Free Agent,,
Miles Davis,472,RB,No,Free Agent,,
Ronnie Rivers,473,RB,No,Free Agent,,
Tyler Lockett,474,WR,No,Free Agent,,
Antonio Gibson,475,RB,No,Free Agent,,
Elijah Higgins,476,TE,No,Free Agent,,
Jeshaun Jones,476,WR,No,Free Agent,,
Marquez Valdes-Scantling,477,WR,No,Free Agent,,
Ameer Abdullah,478,RB,No,Free Agent,,
Mitch Tinsley,478,WR,No,Free Agent,,
Chris Blair,479,WR,No,Free Agent,,
Jacardia Wright,479,RB,No,Free Agent,,
Quinn Ewers,480,QB,No,Free Agent,,
Noah Whittington,481,RB,No,Free Agent,,
Reggie Virgil,482,WR,Yes,Free Agent,,
Tanner Koziol,483,TE,Yes,Free Agent,,
Kenny McIntosh,484,RB,No,Free Agent,,
Matt Hibner,485,TE,No,Free Agent,,
Elijah Mitchell,486,RB,No,Free Agent,,
Michael Woods,487,WR,No,Free Agent,,
Dean Connors,487,RB,Yes,Free Agent,,
Josh Oliver,488,TE,No,Free Agent,,
Tim Patrick,489,WR,No,Free Agent,,
Tyler Conklin,490,TE,No,Free Agent,,
Luke Schoonmaker,491,TE,No,Free Agent,,
Pierre Strong Jr.,491,RB,No,Free Agent,,
Jordan Watkins,492,WR,No,Free Agent,,
Gardner Minshew II,492,QB,No,Free Agent,,
Van Jefferson,493,WR,No,Free Agent,,
Elijah Moore,493,WR,No,Free Agent,,
Sam Roush,494,TE,No,Free Agent,,
Drew Sample,494,TE,No,Free Agent,,
Trey Lance,495,QB,No,Free Agent,,
Brock Wright,495,TE,No,Free Agent,,
Jalen Milroe,496,QB,No,Owned,$5,Zach Moore
Jimmy Horn Jr.,497,WR,No,Free Agent,,
Tanner Hudson,498,TE,No,Free Agent,,
Michael Trigg,498,TE,No,Free Agent,,
JuJu Smith-Schuster,499,WR,No,Free Agent,,
Anthony Schwartz,502,WR,No,Free Agent,,
Cade Stover,503,TE,No,Free Agent,,
Danny Gray,504,WR,No,Owned,$2,Josh Sacks
Isaiah Spiller,505,RB,No,Free Agent,,
Javon Baker,507,WR,No,Free Agent,,
John Metchie III,509,WR,No,Free Agent,,
Justyn Ross,510,WR,No,Free Agent,,
Kameron Johnson,512,WR,Yes,Free Agent,,
Marquise Brown,513,WR,No,Free Agent,,
Ricky Pearsall,514,WR,No,Free Agent,,
Sterling Shepard,515,WR,No,Free Agent,,
Terrace Marshall,516,WR,No,Free Agent,,
Tyler Scott,517,WR,No,Free Agent,,
Tyrell Shavers,518,WR,No,Free Agent,,
Zonovan Knight,519,RB,No,Free Agent,,
